dataset,method,attack,corruption,participation,seed,acc_at_round10,acc_at_round25
cifar10,FLTrust,sign_flip,0.3,0.5,7,55.50,61.80
cifar10,FLTrust,gaussian,0.2,0.1,42,52.70,62.38
cifar10,FLTrust,gaussian,0.2,0.1,7,54.79,54.67
cifar10,FLTrust,gaussian,0.1,0.5,42,56.42,65.97
cifar10,FLTrust,gaussian,0.1,0.5,7,57.41,66.62
cifar10,FLTrust,gaussian,0.3,0.1,42,49.49,61.85
cifar10,FLTrust,gaussian,0.2,0.5,42,55.34,64.66
cifar10,FLTrust,gaussian,0.3,0.1,7,44.75,54.54
cifar10,FLTrust,gaussian,0.2,0.5,7,57.06,64.71
cifar10,FLTrust,alie,0.1,0.1,42,54.34,64.82
cifar10,FLTrust,gaussian,0.3,0.5,42,52.00,63.20
cifar10,FLTrust,alie,0.1,0.1,7,54.61,59.90
cifar10,FLTrust,gaussian,0.3,0.5,7,55.48,62.25
cifar10,FLTrust,alie,0.2,0.1,42,54.44,65.22
cifar10,FLTrust,alie,0.2,0.1,7,54.90,59.78
cifar10,FLTrust,alie,0.1,0.5,42,58.01,66.09
cifar10,FLTrust,alie,0.3,0.1,42,54.15,65.11
cifar10,FLTrust,alie,0.1,0.5,7,59.03,67.30
cifar10,FLTrust,alie,0.2,0.5,42,57.83,66.08
cifar10,FLTrust,alie,0.3,0.1,7,54.63,59.74
cifar10,FLTrust,alie,0.2,0.5,7,58.93,67.35
cifar10,FLTrust,ipm,0.1,0.1,42,54.80,65.35
cifar10,FLTrust,alie,0.3,0.5,42,57.75,66.21
cifar10,FLTrust,ipm,0.1,0.1,7,54.46,59.77
cifar10,FLTrust,alie,0.3,0.5,7,59.04,67.52
cifar10,FLTrust,ipm,0.2,0.1,42,54.42,65.20
cifar10,FLTrust,ipm,0.2,0.1,7,54.12,59.39
cifar10,FLTrust,ipm,0.1,0.5,42,57.79,66.44
cifar10,FLTrust,ipm,0.3,0.1,42,54.54,64.61
cifar10,FLTrust,ipm,0.1,0.5,7,59.10,67.49
cifar10,FLTrust,ipm,0.2,0.5,42,57.86,66.16
cifar10,FLTrust,ipm,0.3,0.1,7,54.64,59.71
cifar10,FLTrust,ipm,0.2,0.5,7,58.96,67.55
cifar10,FLTrust,ipm,0.3,0.5,42,57.81,66.07
cifar10,FLTrust,ipm,0.3,0.5,7,59.21,67.44
cifar100,FLTrust,none,0.0,0.5,42,18.84,32.50
cifar100,FLTrust,none,0.0,0.5,7,18.76,32.25
cifar100,FLTrust,label_flip,0.2,0.5,42,16.90,31.54
cifar100,FLTrust,label_flip,0.2,0.5,7,17.26,31.60
cifar100,FLTrust,sign_flip,0.2,0.5,42,17.10,31.51
cifar100,FLTrust,sign_flip,0.2,0.5,7,17.59,31.93
cifar100,FLTrust,gaussian,0.2,0.5,42,16.97,31.38
cifar100,FLTrust,gaussian,0.2,0.5,7,17.58,31.82
cifar10,SWB,none,0.0,0.1,42,50.79,58.65
cifar10,SWB,none,0.0,0.1,7,56.82,54.88
cifar10,SWB,none,0.0,0.5,42,59.44,63.10
cifar10,SWB,none,0.0,0.5,7,59.28,61.09
cifar10,SWB,label_flip,0.1,0.1,42,50.91,56.53
cifar10,SWB,label_flip,0.1,0.5,42,55.67,61.30
cifar10,SWB,label_flip,0.1,0.1,7,55.44,41.96
cifar10,SWB,label_flip,0.1,0.5,7,56.57,61.34
cifar10,SWB,label_flip,0.2,0.1,42,47.81,51.33
cifar10,SWB,label_flip,0.2,0.5,42,53.33,58.41
cifar10,SWB,label_flip,0.2,0.1,7,52.29,38.77
cifar10,SWB,label_flip,0.2,0.5,7,55.85,54.20
cifar10,SWB,label_flip,0.3,0.5,42,36.05,53.97
cifar10,SWB,label_flip,0.3,0.1,42,18.87,50.49
cifar10,SWB,label_flip,0.3,0.5,7,46.66,48.74
cifar10,SWB,label_flip,0.3,0.1,7,34.59,43.41
cifar10,SWB,sign_flip,0.1,0.5,42,56.35,60.09
cifar10,SWB,sign_flip,0.1,0.5,7,55.81,60.14
cifar10,SWB,sign_flip,0.1,0.1,7,45.84,44.10
cifar10,SWB,sign_flip,0.1,0.1,42,46.38,60.28
cifar10,SWB,sign_flip,0.2,0.5,42,48.11,56.48
cifar10,SWB,sign_flip,0.2,0.5,7,51.50,52.57
cifar10,SWB,sign_flip,0.2,0.1,42,10.00,10.00
cifar10,SWB,sign_flip,0.2,0.1,7,42.00,33.99
cifar10,SWB,sign_flip,0.3,0.5,42,34.38,51.21
cifar10,SWB,sign_flip,0.3,0.5,7,34.51,42.66
cifar10,SWB,sign_flip,0.3,0.1,42,9.98,10.00
cifar10,SWB,sign_flip,0.3,0.1,7,29.64,35.12
cifar10,SWB,gaussian,0.1,0.5,42,59.04,62.77
cifar10,SWB,gaussian,0.1,0.5,7,58.87,61.93
cifar10,SWB,gaussian,0.1,0.1,42,48.07,59.80
cifar10,SWB,gaussian,0.1,0.1,7,55.86,56.80
cifar10,SWB,gaussian,0.2,0.5,42,53.89,59.53
cifar10,SWB,gaussian,0.2,0.1,42,50.78,57.20
cifar10,SWB,gaussian,0.2,0.5,7,54.84,59.14
cifar10,SWB,gaussian,0.2,0.1,7,53.31,55.88
cifar10,SWB,gaussian,0.3,0.5,42,49.96,57.54
cifar10,SWB,gaussian,0.3,0.1,42,53.56,57.74
cifar10,SWB,gaussian,0.3,0.5,7,54.46,57.35
cifar10,SWB,gaussian,0.3,0.1,7,45.69,56.05
cifar10,SWB,alie,0.1,0.1,7,54.19,54.24
cifar10,SWB,alie,0.1,0.1,42,51.75,58.76
cifar10,SWB,alie,0.2,0.5,42,57.76,62.95
cifar10,SWB,alie,0.1,0.5,42,58.76,63.50
cifar10,SWB,alie,0.2,0.5,7,59.21,61.66
cifar10,SWB,alie,0.1,0.5,7,60.11,62.40
cifar10,SWB,alie,0.2,0.1,42,49.59,60.45
cifar10,SWB,alie,0.2,0.1,7,55.86,53.12
cifar10,SWB,alie,0.3,0.1,7,55.59,52.68
cifar10,SWB,alie,0.3,0.1,42,51.23,58.77
cifar10,SWB,alie,0.3,0.5,42,58.17,62.88
cifar10,SWB,alie,0.3,0.5,7,59.95,61.61
cifar10,SWB,ipm,0.1,0.5,42,59.36,62.91
cifar10,SWB,ipm,0.1,0.5,7,60.79,63.73
cifar10,SWB,ipm,0.1,0.1,42,51.74,59.02
cifar10,SWB,ipm,0.1,0.1,7,55.03,50.83
cifar10,SWB,ipm,0.2,0.1,42,51.52,58.20
cifar10,SWB,ipm,0.2,0.1,7,56.25,55.04
cifar10,SWB,ipm,0.2,0.5,42,57.64,60.85
cifar10,SWB,ipm,0.2,0.5,7,59.19,61.55
cifar10,SWB,ipm,0.3,0.5,42,57.37,61.82
cifar10,SWB,ipm,0.3,0.5,7,61.15,62.31
cifar10,SWB,ipm,0.3,0.1,42,49.51,59.97
cifar10,SWB,ipm,0.3,0.1,7,57.49,57.03
cifar100,SWB,none,0.0,0.5,42,23.42,30.67
cifar100,SWB,none,0.0,0.5,7,23.96,30.10
cifar100,SWB,label_flip,0.2,0.5,42,20.92,26.95
cifar100,SWB,label_flip,0.2,0.5,7,20.31,25.44
cifar100,SWB,sign_flip,0.2,0.5,42,16.32,24.47
